tea_name,tea_price,topping
Tropical Twist,9.18,marshmallows
Pineapple Paradise,8.67,coconut flakes
Honey Lemonade,6.12,cinnamon
Citrus Splash,8.64,mint leaves
Summer Skies,5.56,sprinkles
Cherry Fizz,7.22,sprinkles
Milk Tea Duo,8.42,sprinkles
Mango Tango,7.32,honey
Mango tea,6.45,sprinkles
Citrus Splash,8.52,coconut flakes
Watermelon Wave,8.54,chocolate shavings
Summer Skies,6.61,marshmallows
Mung Bean Smoothie,6.49,caramel drizzle
Pineapple Paradise,5.71,cinnamon
Watermelon Wave,5.09,nutmeg
Winter Melon Tea Latte,5.01,cinnamon
Summer Skies,7.9,honey
Citrus Splash,7.62,caramel drizzle
Summer Skies,6.52,whipped cream
Jasmine Green,5.01,whipped cream
Honey Oolong Lemonade,9.52,chocolate shavings
Deep Roast Oolong,9.31,whipped cream
Citrus Splash,7.85,sprinkles
Pineapple Paradise,6.35,nutmeg
Grape Iced Tea,6.21,chocolate shavings